Date,Region,"Inpatient Hospitalizations","ICU Hospitalizations"
2020/04/26,"Far North",0,0
2020/04/26,North,1,0
2020/04/26,"Central (excluding Saskatoon)",0,0
2020/04/26,Saskatoon,2,2
2020/04/26,"South (excluding Regina)",0,0
2020/04/26,Regina,0,0
2020/04/26,Total,3,2
2020/04/27,"Far North",0,0
2020/04/27,North,3,0
2020/04/27,"Central (excluding Saskatoon)",0,0
2020/04/27,Saskatoon,2,2
2020/04/27,"South (excluding Regina)",0,0
2020/04/27,Regina,0,0
2020/04/27,Total,5,2
2020/04/28,"Far North",0,0
2020/04/28,North,3,0
2020/04/28,"Central (excluding Saskatoon)",0,0
2020/04/28,Saskatoon,3,2
2020/04/28,"South (excluding Regina)",0,0
2020/04/28,Regina,0,0
2020/04/28,Total,6,2
2020/04/29,"Far North",0,0
2020/04/29,North,4,0
2020/04/29,"Central (excluding Saskatoon)",0,0
2020/04/29,Saskatoon,3,3
2020/04/29,"South (excluding Regina)",0,0
2020/04/29,Regina,0,0
2020/04/29,Total,7,3
2020/04/30,"Far North",0,0
2020/04/30,North,4,0
2020/04/30,"Central (excluding Saskatoon)",0,0
2020/04/30,Saskatoon,3,3
2020/04/30,"South (excluding Regina)",0,0
2020/04/30,Regina,0,0
2020/04/30,Total,7,3
2020/05/01,"Far North",0,0
2020/05/01,North,4,0
2020/05/01,"Central (excluding Saskatoon)",0,0
2020/05/01,Saskatoon,3,3
2020/05/01,"South (excluding Regina)",0,0
2020/05/01,Regina,0,0
2020/05/01,Total,7,3
2020/05/02,"Far North",0,0
2020/05/02,North,5,0
2020/05/02,"Central (excluding Saskatoon)",0,0
2020/05/02,Saskatoon,5,2
2020/05/02,"South (excluding Regina)",0,0
2020/05/02,Regina,0,0
2020/05/02,Total,10,2
2020/05/03,"Far North",0,0
2020/05/03,North,5,0
2020/05/03,"Central (excluding Saskatoon)",0,0
2020/05/03,Saskatoon,6,3
2020/05/03,"South (excluding Regina)",0,0
2020/05/03,Regina,0,0
2020/05/03,Total,11,3
2020/05/04,"Far North",0,0
2020/05/04,North,2,1
2020/05/04,"Central (excluding Saskatoon)",0,0
2020/05/04,Saskatoon,5,3
2020/05/04,"South (excluding Regina)",0,0
2020/05/04,Regina,0,0
2020/05/04,Total,7,4
2020/05/05,"Far North",0,0
2020/05/05,North,2,1
2020/05/05,"Central (excluding Saskatoon)",0,0
2020/05/05,Saskatoon,7,3
2020/05/05,"South (excluding Regina)",0,0
2020/05/05,Regina,0,0
2020/05/05,Total,9,4
2020/05/06,"Far North",0,0
2020/05/06,North,2,1
2020/05/06,"Central (excluding Saskatoon)",0,0
2020/05/06,Saskatoon,7,3
2020/05/06,"South (excluding Regina)",0,0
2020/05/06,Regina,0,0
2020/05/06,Total,9,4
2020/05/07,"Far North",0,0
2020/05/07,North,2,1
2020/05/07,"Central (excluding Saskatoon)",0,0
2020/05/07,Saskatoon,6,3
2020/05/07,"South (excluding Regina)",0,0
2020/05/07,Regina,0,0
2020/05/07,Total,8,4
2020/05/08,"Far North",0,0
2020/05/08,North,6,1
2020/05/08,"Central (excluding Saskatoon)",0,0
2020/05/08,Saskatoon,9,3
2020/05/08,"South (excluding Regina)",0,0
2020/05/08,Regina,0,0
2020/05/08,Total,15,4
2020/05/09,"Far North",0,0
2020/05/09,North,6,1
2020/05/09,"Central (excluding Saskatoon)",0,0
2020/05/09,Saskatoon,4,4
2020/05/09,"South (excluding Regina)",0,0
2020/05/09,Regina,0,0
2020/05/09,Total,10,5
2020/05/10,"Far North",0,0
2020/05/10,North,5,0
2020/05/10,"Central (excluding Saskatoon)",0,0
2020/05/10,Saskatoon,3,4
2020/05/10,"South (excluding Regina)",0,0
2020/05/10,Regina,0,0
2020/05/10,Total,8,4
2020/05/11,"Far North",0,0
2020/05/11,North,5,0
2020/05/11,"Central (excluding Saskatoon)",0,0
2020/05/11,Saskatoon,3,3
2020/05/11,"South (excluding Regina)",0,0
2020/05/11,Regina,0,0
2020/05/11,Total,8,3
2020/05/12,"Far North",0,0
2020/05/12,North,5,0
2020/05/12,"Central (excluding Saskatoon)",0,0
2020/05/12,Saskatoon,3,3
2020/05/12,"South (excluding Regina)",0,0
2020/05/12,Regina,0,0
2020/05/12,Total,8,3
2020/05/13,"Far North",0,0
2020/05/13,North,4,0
