Date,Region,"New Cases","Total Cases","Confirmed Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths
2020/03/27,Total,,104,104,,4,2,3,0
2020/03/28,"Far North",0,3,3,,0,0,1,0
2020/03/28,North,13,26,26,,1,0,1,0
2020/03/28,"Central (excluding Saskatoon)",3,11,11,,0,1,0,0
2020/03/28,Saskatoon,10,58,58,,1,1,1,0
2020/03/28,"South (excluding Regina)",0,4,4,,0,0,1,0
2020/03/28,Regina,4,32,32,,1,1,0,0
2020/03/28,Total,30,134,134,,3,3,4,0
2020/03/29,"Far North",0,3,3,,0,0,1,0
2020/03/29,North,7,33,33,,1,0,4,0
2020/03/29,"Central (excluding Saskatoon)",-1,10,10,,0,1,0,0
2020/03/29,Saskatoon,14,72,72,,2,0,2,0
2020/03/29,"South (excluding Regina)",0,4,4,,0,0,1,0
2020/03/29,Regina,2,34,34,,0,1,0,0
2020/03/29,Total,22,156,156,,3,2,8,0
2020/03/30,"Far North",0,3,3,,0,0,1,0
2020/03/30,North,4,37,37,,1,0,4,0
2020/03/30,"Central (excluding Saskatoon)",0,10,10,,0,0,0,0
2020/03/30,Saskatoon,12,84,84,,3,0,2,0
2020/03/30,"South (excluding Regina)",2,6,6,,0,0,1,0
2020/03/30,Regina,2,36,36,,0,1,6,0
2020/03/30,Total,20,176,176,,4,1,14,0
2020/03/31,"Far North",0,3,3,,0,0,2,
2020/03/31,North,0,37,37,,0,0,9,
2020/03/31,"Central (excluding Saskatoon)",-1,9,9,,0,0,0,
2020/03/31,Saskatoon,6,90,90,,3,0,3,
2020/03/31,"South (excluding Regina)",0,6,6,,0,0,1,
2020/03/31,Regina,3,39,39,,0,1,6,
2020/03/31,Total,8,184,184,,3,1,21,2
2020/04/01,"Far North",0,3,3,1,0,0,2,
2020/04/01,North,0,37,37,24,0,0,12,
2020/04/01,"Central (excluding Saskatoon)",0,9,9,8,0,0,0,
2020/04/01,Saskatoon,4,94,94,88,3,0,5,
2020/04/01,"South (excluding Regina)",1,7,7,6,0,0,1,
2020/04/01,Regina,4,43,43,33,0,1,10,
2020/04/01,Total,9,193,193,160,3,1,30,3
2020/04/02,"Far North",0,3,3,1,0,0,2,
2020/04/02,North,1,38,38,24,0,0,13,
2020/04/02,"Central (excluding Saskatoon)",0,9,9,7,0,0,1,
2020/04/02,Saskatoon,9,103,103,94,2,1,8,
2020/04/02,"South (excluding Regina)",2,9,9,8,0,0,1,
2020/04/02,Regina,1,44,44,33,0,1,11,
2020/04/02,Total,13,206,206,167,2,2,36,3
2020/04/03,"Far North",0,3,3,1,0,0,2,
2020/04/03,North,4,42,42,27,0,0,14,
2020/04/03,"Central (excluding Saskatoon)",0,9,9,7,0,0,1,
2020/04/03,Saskatoon,8,111,111,92,2,0,18,
2020/04/03,"South (excluding Regina)",1,10,10,8,0,0,2,
2020/04/03,Regina,1,45,45,34,0,1,11,
2020/04/03,Total,14,220,220,169,2,1,48,3
2020/04/04,"Far North",0,3,3,1,0,0,2,0
2020/04/04,North,1,43,43,28,0,0,14,1
2020/04/04,"Central (excluding Saskatoon)",1,10,10,8,0,0,1,1
2020/04/04,Saskatoon,1,112,112,87,3,0,24,1
2020/04/04,"South (excluding Regina)",3,13,13,11,0,0,2,0
2020/04/04,Regina,5,50,50,38,0,1,12,0
2020/04/04,Total,11,231,231,173,3,1,55,3
2020/04/05,"Far North",0,3,3,1,0,0,2,0
2020/04/05,North,4,47,47,25,0,0,21,1
2020/04/05,"Central (excluding Saskatoon)",0,10,10,8,0,0,1,1
2020/04/05,Saskatoon,11,123,123,94,2,1,28,1
2020/04/05,"South (excluding Regina)",2,15,15,13,0,0,2,0
2020/04/05,Regina,1,51,51,38,0,1,13,0
2020/04/05,Total,18,249,249,179,2,2,67,3
2020/04/06,"Far North",0,3,3,1,0,0,2,0
2020/04/06,North,0,47,47,22,0,0,24,1
2020/04/06,"Central (excluding Saskatoon)",0,10,10,8,0,0,1,1
2020/04/06,Saskatoon,4,127,127,97,2,1,29,1
2020/04/06,"South (excluding Regina)",0,15,15,13,0,0,2,0
2020/04/06,Regina,0,51,51,28,0,1,23,0
2020/04/06,Total,4,253,253,169,2,2,81,3
2020/04/07,"Far North",1,4,4,2,0,0,2,0
2020/04/07,North,1,48,48,22,0,0,25,1
2020/04/07,"Central (excluding Saskatoon)",0,10,10,8,0,0,1,1
2020/04/07,Saskatoon,4,131,131,100,4,1,30,1
2020/04/07,"South (excluding Regina)",0,15,15,11,0,0,4,0
2020/04/07,Regina,1,52,52,26,1,1,26,0
2020/04/07,Total,7,260,260,169,5,2,88,3
2020/04/08,"Far North",0,4,4,2,0,0,2,0
2020/04/08,North,3,51,51,22,1,0,28,1
2020/04/08,"Central (excluding Saskatoon)",0,10,10,5,0,0,4,1
2020/04/08,Saskatoon,4,135,135,97,4,1,37,1
2020/04/08,"South (excluding Regina)",0,15,15,11,0,0,4,0
2020/04/08,Regina,4,56,56,28,1,1,28,0
2020/04/08,Total,11,271,271,165,6,2,103,3
2020/04/09,"Far North",1,5,5,3,0,0,2,0
2020/04/09,North,1,52,52,22,0,0,29,1
2020/04/09,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1
2020/04/09,Saskatoon,3,138,138,95,4,1,42,1
2020/04/09,"South (excluding Regina)",0,15,15,11,0,0,4,0
2020/04/09,Regina,2,58,58,26,2,1,32,0
2020/04/09,Total,7,278,278,160,6,2,115,3
2020/04/10,"Far North",1,6,6,4,0,0,2,0
2020/04/10,North,0,52,52,20,0,0,31,1
2020/04/10,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1
2020/04/10,Saskatoon,4,142,141,86,4,1,55,1
2020/04/10,"South (excluding Regina)",0,15,15,9,0,0,6,0
2020/04/10,Regina,2,60,60,24,2,1,36,0
2020/04/10,Total,7,285,284,146,6,2,136,3
2020/04/11,"Far North",1,7,7,5,0,0,2,0
2020/04/11,North,0,52,52,17,0,0,34,1
2020/04/11,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1
2020/04/11,Saskatoon,3,145,145,81,5,1,63,1
2020/04/11,"South (excluding Regina)",0,15,15,9,0,0,6,0
2020/04/11,Regina,0,60,60,23,2,0,36,1
2020/04/11,Total,4,289,289,138,7,1,147,4
2020/04/12,"Far North",0,7,7,5,0,0,2,0
2020/04/12,North,4,56,54,19,0,0,36,1
2020/04/12,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1
2020/04/12,Saskatoon,2,147,147,68,6,0,78,1
2020/04/12,"South (excluding Regina)",0,15,15,9,0,0,6,0
2020/04/12,Regina,3,63,63,26,1,0,36,1
2020/04/12,Total,9,298,296,130,7,0,164,4
2020/04/13,"Far North",0,7,7,5,0,0,2,0
2020/04/13,North,0,56,56,15,1,0,40,1
2020/04/13,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1
2020/04/13,Saskatoon,0,147,147,58,6,0,88,1
2020/04/13,"South (excluding Regina)",0,15,15,9,0,0,6,0
2020/04/13,Regina,2,65,65,28,1,0,36,1
2020/04/13,Total,2,300,300,118,8,0,178,4
2020/04/14,"Far North",0,7,7,5,0,0,2,0
2020/04/14,North,1,57,57,15,1,0,41,1
2020/04/14,"Central (excluding Saskatoon)",0,10,10,3,0,0,6,1
2020/04/14,Saskatoon,0,147,147,56,5,0,90,1
2020/04/14,"South (excluding Regina)",0,15,15,9,0,0,6,0
2020/04/14,Regina,0,65,65,22,1,0,42,1
2020/04/14,Total,1,301,301,110,7,0,187,4
2020/04/15,"Far North",0,7,7,5,0,0,2,0
2020/04/15,North,1,58,58,13,1,0,44,1
2020/04/15,"Central (excluding Saskatoon)",0,10,10,2,0,0,7,1
2020/04/15,Saskatoon,0,147,147,50,4,0,96,1
2020/04/15,"South (excluding Regina)",0,15,15,3,0,0,12,0
2020/04/15,Regina,2,67,67,22,3,0,44,1
2020/04/15,Total,3,304,304,95,8,0,205,4
2020/04/16,"Far North",0,7,7,5,0,0,2,0
2020/04/16,North,0,58,58,9,1,0,48,1
2020/04/16,"Central (excluding Saskatoon)",0,10,10,2,0,0,7,1
2020/04/16,Saskatoon,0,147,147,44,2,0,102,1
2020/04/16,"South (excluding Regina)",0,15,15,3,0,0,12,0
2020/04/16,Regina,1,68,68,19,4,0,48,1
2020/04/16,Total,1,305,305,82,7,0,219,4
2020/04/17,"Far North",1,8,7,6,0,0,2,0
2020/04/17,North,0,58,58,7,0,0,50,1
2020/04/17,"Central (excluding Saskatoon)",0,10,10,2,0,0,7,1
2020/04/17,Saskatoon,0,147,147,40,2,0,106,1
2020/04/17,"South (excluding Regina)",0,15,15,2,0,0,13,0
2020/04/17,Regina,1,69,69,18,3,1,50,1
2020/04/17,Total,2,307,306,75,5,1,228,4
2020/04/18,"Far North",2,10,8,8,0,0,2,0
2020/04/18,North,1,59,59,7,0,0,51,1
2020/04/18,"Central (excluding Saskatoon)",1,11,11,3,0,0,7,1
2020/04/18,Saskatoon,1,148,147,38,2,0,109,1
